S.No,Change / Requirement,Description,Status,Remarks
1,Stop Automatic Movement,e-puck should not move automatically when the project starts. It should wait for a user command.,Open,
2,Adjust World/e-puck Size,Reduce the world size or increase the e-puck size for better visibility.,Open,
3,Modify Route Highlighting,Routes should represent available paths and should not look like fixed colour-coded tracks followed by the robot.,Open,
4,Integrate Voice & Head Gesture,Head gesture recognition and voice recognition should work together in the same main controller/system.,Open,
5,Add START Command,"The robot should wait until the user says “Start”. After START, both voice and head gesture controls should become active.",Open,
6,Multiple Route Combinations,"Support S?A, A?S, S?B, B?S, A?B and B?A, including short and long/alternative routes.",Open,
7,Destination Navigation,“Go to A/B/S” should navigate the robot to the selected location using the shortest route from its current location.,Open,
8,Mid-route Direction Command,"If the user says “Turn Right/Left” during navigation, ask whether to change destination, use a different route, or continue the current route.",Open,
9,Recalculate from Current Position,"After a route or destination change, navigation should continue/recalculate from the robot’s current position.",Open,
10,STOP Command Priority,STOP should have the highest priority and stop the robot immediately.,Open,
11,Robot State Management,"Add clear states such as IDLE, ACTIVE, NAVIGATING, PAUSED and ARRIVED/STOPPED.",Open,
12,Head Gesture Control,"Add gesture threshold, holding time and cooldown to prevent accidental or repeated commands.",Open,
13,Display Commands & Status,Show recognised voice/head commands and current robot status in the console/UI.,Open,
14,Destination Reached Behaviour,Stop automatically after reaching the destination and wait for the next command.,Open,
15,Invalid Command Handling,Invalid or unclear voice commands should not cause robot movement.,Open,
16,Command Conflict Handling,Handle conflicting voice and head gesture commands using clear command-priority rules.,Open,
17,Map Route Display,"Clearly differentiate available routes, selected route, destination and current robot position.",Open,
18,Shortest & Alternative Paths,Implement actual shortest-path and alternative-path selection instead of only fixed movement sequences.,Open,
19,Collision-Free Routes,"Ensure routes avoid walls, benches and other obstacles in the environment.",Open,
20,Obstacle Detection,Use e-puck sensors where possible to detect obstacles and stop safely.,Open,
21,Define Commands,"Clearly define START, STOP, FORWARD, REVERSE, LEFT, RIGHT, GO TO A, GO TO B and GO TO S commands.",Open,
22,Manual Intervention,Allow voice/head-gesture commands while autonomous destination navigation is running.,Open,
23,Simultaneous Voice & Gesture,Keep voice recognition and head-gesture recognition active together instead of switching between separate modes.,Open,
24,Command/Event Logging,"Record recognition accuracy, response time, successful execution and failed commands for project evaluation.",Open,
